Wert;Bedeutung
1;Bezugsfrei
2;Teilvermietet/Teilverpachtet
3;Vermietet/Verpachtet
4;Mieterkauf/Pächterkauf
5;Nutzungsrecht
6;Tlw. Leerstand, Teilentmietet
7;Leerstand
8;Bauaufsichtlich gesperrt
9;Besetztes Haus
