Wert;Bedeutung
10;Offene Bauweise
11;Einzelhausbebauung
13;Reihenhaussiedlung
14;Gewerbliche Baustrukturen
20;Geschlossene Bauweise
21;Blockrandbebauung
22;Blockrand- und Hinterlandbebauung
30;Aufgelockerte Bauweise
31;Mischbauweise
32;Zeilenbauweise
33;Gestaffelte Baukörper
