Wert ;Bedeutung
0;Sonstige Dachform
1;Flachdach
2;Pultdach
3;Satteldach
4;Berliner Dach
5;Walmdach, Krüppelwalmdach
6;Mansardendach
7;Zelt, Kegel-, Kuppeldach
8;Bogendach
9;Sheddach
10;Reetdach
11;Flachdach über Staffelgeschoss
12;Pultdach über Staffelgeschoss
13;Satteldach über Staffelgeschoss
