Wert;Bedeutung
1;SAN vor Neuordnung
2;SAN nach Neuordnung
3;SAN, vereinfachtes Verfahren
7;ENT vor Neuordnung
8;ENT nach Neuordnung
13;SAN
14;ENT
4;SAN-UB
5;SEG
6;SPS
9;ENT-UB
10;Bodenordnung
