Wert;Bedeutung
0;Massivhaus
1;Holzhaus
2;Fachwerkhaus
5;Fertighaus
8;Stahlbetonbau, Stahl- oder Stahlbetonskelettbau
10;Großplattenbauweise
11;Klinkerbau
