Wert;Bedeutung
A;Gebäude erweitert (Anbau/Aufstockung)
B;Schlüsselfertige Bauerrichtung durch Erstverkäufer
K;Kriegsbeschädigt/Kriegszerstört
R;Rohbau (Gebäude im Bau)
S;Baujahr geschätzt
U;Gebäude substantiell umgebaut
W;Wiederaufbau
