Wert;Bedeutung
1;Bebauungsplan
2;Im Zusammenhang bebaute Ortsteile
3;Außenbereich
4;Vorhaben- und Erschließungsplan
5;Baugenehmigung/-vorbescheid/ Investitionsvorrangbescheinigung
6;Angabe der Vertragsparteien
7;Einschätzung des Auswerters
