Wert;Bedeutung
1;Privat
2;Gesellschaft bürgerlichen Rechts
3;Bundesrepublik Deutschland
4;Land Berlin
5;Untern. an denen Land Berlin unmittelbar beteiligt ist
7;Sonstige öffentliche Hand
8;(Gemeinnütz.) Wohnungsunternehmen
10;Verfahrensträger
11;Immobilienfonds
12;Versicherungen/ Banken/ sonst. Fondsgesellschaften
13;Sonstige juristische Personen
14;Kirchen/ Religionsgemeinschaften
15;Diplomatische Vertretung
20;Sonstiges Bundesland
21;Landeseigene Wohnungsunternehmen
