Wert;Bedeutung
A;Und weitere Grundstücksnummern
Ä;Nähe
E;Ersatznummer
F;und weitere Flurstücke
G;Gesamtpaket mit weiteren Grundstücken
H;Hinter
J;Jagen
N;Neben
O;Ohne genauere Lagebezeichnung
U;Lagebezeichnung/Flurstück prüfen/korrigieren
V;Verkehrsfläche
