Wert;Bedeutung
0;Noch nicht festgestellt
1;Reines Agrarland
2;Begünstigtes Agrarland
3;Besondere Fläche
10;Bauerwartungsland (BE) undifferenziert
11;BE - Bauerwartung Stufe 1
12;BE - Bauerwartung Stufe 2
13;BE - Bauerwartung Stufe 3
14;BE - Bauerwartung Stufe 4
20;Rohbauland (RB) undifferenziert
25;RB - Robauland Stufe 1
26;RB - Robauland Stufe 2
27;RB - Robauland Stufe 3
28;RB - Robauland Stufe 4
30;Bauland
