Wert;Bedeutung
0;Dienstleisung
1;Örtliche Verkehrsfläche
2;Sonstige Verkehrsfläche
3;Öffentliche Grünfläche
4;Baufläche für Gemeinbedarf/ gemeinnützige Zwecke
5;Sonstige Fläche für Gemeinbedarf
6;Baufläche für Ver-/ Entsorgung
7;Sonstige Fläche für Ver-/ Entsorgung
8;Sportanlage
9;Produktion
10;Diplomatische Vertretung
