Wert;Bedeutung
0;Bootshaus
1;Ungetrennte Mieteinheiten
2;Gebäude/Gebäudeteil
3;Keller, Etagenabstellraum
4;Hobbyraum
5;Dachraum
6;Sonderraum
7;Garage
8;Sammelgarage(n-stellplatz)
9;Sommerhaus
10;Bootssteg/Liegeplätze
