Wert;Bedeutung
0;Unbekannt
1;Normal, pauschale Aussage
2;Ungünstig, pauschale Aussage
11;in 0-2m Tiefe
12;in 2-3m Tiefe
13;in 3-4m Tiefe
14;in 4-6m Tiefe
15;in 6-8m Tiefe
16;in über 8m Tiefe
