Wert;Bedeutung
A;Zulässige/preisbestimmende Nut- zungsart abweichend
B;Gemeinbedarf
BE;Bauerwartungsland
G;Gewerbliche Baufläche
GE;Gewerbegebiet
GI;Industriegebiet
M;Gemischte Baufläche
MD;Dorfgebiet
MI;Mischgebiet
MK;Kerngebie
N;Nichtbauland
R;Baulandreserve
RB;Rohbauland
S;Sonderbaufläche
SO;Sondergebiet
SW;Wochenendhausgebiet
V;Verkehrsfläche
W;Wohnbaufläche
WA;Allgemeines Wohngebiet
WB;Besonderes Wohngebiet
WR;Reines Wohngebiet
WS;Kleinsiedlungsgebiet
