Wert;Bedeutung
F;Forstflächen
G;Dienstleistungsgewerbe
GB;Gemeinbedarfsflächen
GP;Produzierendes Gewerbe
LA;Landwirtschaftliche Flächen – Acker
LE;Landwirtschaftliche Flächen – Erwerbsgartenbau
LG;Landwirtschaftliche Flächen – Grünland
M1;Kerngebietscharakter
M2;Mischgebietscharakter
M3;Einzelhandelszentrum
SF;Sonstige Flächen
W;Wohnbebauung
ZZ;Nicht ausgewiesen
