Wert ;Bedeutung
1;Vorderhaus/Randbebauung
2;Seitenflügel
3;Quergebäude
4;Gartenhaus
5;Blockrandbebauung
6;Zeilenbebauung
7;Freistehend/Einzelhaus
8;Doppelhaushälfte
9;Reihenhaus
10;Reihenendhaus
11;Haufenhaus
12;Gestaltete Baukörper
13;Hofbebauung
14;Mietwohnbebauung (pauschal)
15;Anbau
99;Sonstige Gebäude
